username,text,date
NinoFabillar,Check out Mahalia's video! #TikTok https://t.co/RyRM8XMZCQ,2023-03-30 03:25:21+00:00
CoreyHickson,Ladies and gentlemen and non-binary pals: my favourite tiktok https://t.co/w590U0pdok,2023-03-30 03:25:21+00:00
jrladia,"To me, this is a great response to dealing with someone going through a bout of anxiety and self-defeating behaviou… https://t.co/gZi8w4T9u7",2023-03-30 03:25:18+00:00
Abubaka62890555,Check out Khan92's video! #TikTok https://t.co/GHFC1oEJNO,2023-03-30 03:25:18+00:00
cocaworm1017,Let me say this to those who don't understand: TEACHERS ARE THERE TO TEACH! THEY ARE NOT THERE TO WELD A GUN &amp; CONF… https://t.co/7HkgyRjBbm,2023-03-30 03:25:17+00:00
kundeqian,Local Chinese Person Fed Up With Casual Sinophobia on TikTok!,2023-03-30 03:25:17+00:00
andyroomowery,"@jackieraimo Design, not defect. Taking out comms in advance of the 2024 election cycle. Splinter the opposition on… https://t.co/Z4PwiVUHsU",2023-03-30 03:25:15+00:00
fragilesoty,Won’t be surprised if I see an nmixx tiktok w some haww boys because they’re just doing it w everyone lol,2023-03-30 03:25:15+00:00
berryloeycart,Check out EXO's video! #TikTok https://t.co/2rHYG8qXEf,2023-03-30 03:25:14+00:00
TFoBC_Official,"Even IF TikTok gets banned, AND the internet gets affected, it should be a true wake up call for everyone to get th… https://t.co/ccLxtxY37Q",2023-03-30 03:25:13+00:00
debbiecat4,Check out Asta🤍's video! #TikTok https://t.co/O0KnCgaGgF,2023-03-30 03:25:13+00:00
TheBigNickJ,"@Whiskey_Hell I read it and I'm worried because it's vague as hell. I mean, one line says they can have access to b… https://t.co/BzmNBGxU5P",2023-03-30 03:25:11+00:00
NoraJaquish,"SeLling 7000 to 150000 foLlowers InstAgram accounTs at cheap prices. DM us for more details.

tags - saLe seLl bUy… https://t.co/qNUQ9hDqMy",2023-03-30 03:25:11+00:00
Searching4Away,TikTok BANNED! (RESTRICT Act ATTACKS The Entire Internet) https://t.co/q2qMXfGwjw via @YouTube,2023-03-30 03:25:10+00:00
zam469548,Tonton video Amirul40! #TikTok https://t.co/Lp9NZFf2XC,2023-03-30 03:25:10+00:00
UncleBeeb1,Check out UncleBeeb's video! #TikTok https://t.co/SwTpAEc3Md,2023-03-30 03:25:08+00:00
SaveLibertyUS,"@Fynnderella1 @FLSurgeonGen Hi, fyi about banning TikTok.  There are 2 separate bills. https://t.co/ER8PS9mool",2023-03-30 03:25:04+00:00
AishaMo63807020,"I’m a Democrat, not white, “Cis” woman. I think what she did was the trashiest thing I’ve seen in a long time. TikT… https://t.co/7bg9g1q226",2023-03-30 03:25:03+00:00
allisondarty,Make up artist on TikTok be crazy talented,2023-03-30 03:25:03+00:00
RebeccaYChan,"Yes, we have much more freedom in China. But the people in the “garden” mustn’t find out about this. 

They must be… https://t.co/D9wrqYcH0B",2023-03-30 03:25:03+00:00
hunniedews,i had to delete tiktok because i accidentslly hit one of those stupid pop up settings and i wasnt sure which it was… https://t.co/ttpBzPsN3S,2023-03-30 03:25:02+00:00
Healthyfairy86,Hawley’s tiktok ban got shut down by Rand Paul. But Warner’s RESTRICT ACT is still in play…which is way worse bc it… https://t.co/m4v0G3PcZF,2023-03-30 03:25:01+00:00
vixenya,"@druighq showing support and love throughout the process? yes, absolutely. spreading allegations and defaming chara… https://t.co/ivO7jh9pfx",2023-03-30 03:25:00+00:00
SanderiaFaye,Check out Chy'Shy Smith's video! #TikTok https://t.co/g17Msc0ywN,2023-03-30 03:24:59+00:00
Avrex6969,"@Citizen_Snipes Bro, we’re getting you to where were you need to be and deserve to be with your with streaming on… https://t.co/YW2TSAZPag",2023-03-30 03:24:57+00:00
PureIronSingh,"Here are his replies on older videos on TikTok.

He’s only sorry that he got caught. https://t.co/45ek6SXrMJ",2023-03-30 03:24:53+00:00
multibarnes,"Getting a ""g*n fire reported on campus"" text right after doom scrolling on TikTok about the school shootings is so fun 😀",2023-03-30 03:24:52+00:00
Veronic17472000,Don't miss out. https://t.co/oOfQvrZJt1,2023-03-30 03:24:51+00:00
kimberlizzle_,My husband learned “como chingas” off of a tiktok. I will now be deleting tiktok off his phone when I see him next🙄,2023-03-30 03:24:46+00:00
JosephPishko1,Check out motivationforsucceslife's video! #TikTok https://t.co/XpR3P57sMC,2023-03-30 03:24:45+00:00
TylerRichMusic,Part TWO! of Wheel of Fortune. https://t.co/rzzhtaCZ3o,2023-03-30 03:24:43+00:00
